,Year,District Name,District Code_x,# in Cohort,% Graduated,% Still in School,% Non-Grad Completers,% H.S. Equiv.,% Dropped Out,% Permanently Excluded,District Code_y,American Indian or Alaska Native,Asian,Black or African American,Hispanic or Latino,"Multi-Race, Not Hispanic or Latino",Native Hawaiian or Other Pacific Islander,White,Female,Male,Tests Taken,Reading / Writing,Math
70,2023,Dracut,790000,181,89,4.4,1.1,0,5.5,0,790000,0.2,6.6,6.6,9.5,1.8,0,75.3,48.1,51.9,117,523,523
71,2023,Dudley-Charlton Reg,6580000,199,90.5,2,0.5,0.5,6.5,0,6580000,0.2,1.2,1.6,8.4,2.9,0.1,85.7,49.1,50.9,136,574,556
72,2023,Duxbury,820000,224,98.2,1.8,0,0,0,0,820000,0.1,1.3,0.3,2.3,3.3,0,92.7,49.4,50.6,243,597,577
73,2023,East Bridgewater,830000,152,97.4,1.3,0,0,1.3,0,830000,0.4,0.8,2.8,2.1,2.7,0,91.2,49.2,50.8,67,550,516
74,2023,East Longmeadow,870000,211,95.7,2.8,0,0.5,0.9,0,870000,0.2,5.3,3.5,8.6,2.8,0.1,79.5,48.4,51.6,111,576,563
75,2023,Easthampton,860000,88,92,1.1,0,0,6.8,0,860000,0.3,3.6,1.1,13.1,3,0.1,78.8,49.2,50.7,32,576,532
76,2023,Easton,880000,258,97.3,2.3,0,0,0.4,0,880000,0.4,3.2,6.2,5.5,3.1,0.1,81.6,49.8,50.2,221,580,566
77,2023,Edward M. Kennedy Academy for Health Careers: A Horace Mann Charter Public School (District),4520000,74,100,0,0,0,0,0,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,107,423,407
78,2023,Essex North Shore Agricultural and Technical School District,8170000,382,97.6,0.5,0,0.5,1.3,0,8170000,0.4,1.6,1.1,12,3,0,81.8,57.8,42,244,533,510
79,2023,Everett,930000,390,84.4,4.1,1.5,0,10,0,930000,0.4,5.1,16.4,54.4,1.7,0.1,22,48.9,51.1,270,493,477
80,2023,Excel Academy Charter (District),4100000,155,99.4,0,0,0,0.6,0,4100000,0.8,1.2,6.4,79.3,0.5,0.3,11.4,51,49,146,472,464
81,2023,Fairhaven,940000,154,93.5,1.9,0,0,4.5,0,940000,0.6,1.8,2.2,5.5,3.5,0,86.3,50.2,49.8,117,546,542
82,2023,Fall River,950000,507,74.6,4.3,3.2,0.2,17.8,0,950000,0.2,3.9,8.4,27.5,8.7,0.1,51.3,48.7,51.3,243,492,477
83,2023,Falmouth,960000,191,91.1,1.6,0,1.6,5.8,0,960000,1.2,2.2,4.8,6.2,6,0.1,79.5,49.7,50.2,145,577,558
84,2023,Fitchburg,970000,302,91.1,5.6,0.3,0,3,0,970000,0,4.8,6.5,51.8,7.3,0.1,29.6,48.2,51.8,270,459,444
85,2023,Four Rivers Charter Public (District),4130000,33,90.9,3,0,0,6.1,0,4130000,0.5,1.8,2.3,7.3,4.6,0,83.6,51.6,48.4,14,631,564
86,2023,Foxborough,990000,166,98.2,1.2,0,0,0.6,0,990000,0.4,4.3,4.8,5.4,2.7,0.1,82.1,48.1,51.8,176,564,564
87,2023,Foxborough Regional Charter (District),4460000,85,100,0,0,0,0,0,4460000,0.3,9.8,46.7,4.8,5.3,0.2,32.9,51.8,48.2,85,541,505
88,2023,Framingham,1000000,541,83.4,3.9,2.8,0,10,0,1000000,0.1,4.9,7.6,27.4,4.3,0.1,55.7,48.9,51.1,339,572,573
89,2023,Francis W. Parker Charter Essential (District),4780000,61,98.4,0,0,0,1.6,0,4780000,0,1.8,1,2.3,5,0,89.9,52.4,46.6,52,606,564
90,2023,Franklin,1010000,413,97.8,1.7,0,0.2,0.2,0,1010000,0.1,5.6,1.9,3.4,2,0.8,86.2,48.6,51.3,429,585,575
91,2023,Franklin County Regional Vocational Technical,8180000,123,91.9,0,0,0.8,7.3,0,8180000,0,0,1.6,3.6,2.4,0,92.3,34.4,65.6,19,483,494
92,2023,Freetown-Lakeville,6650000,173,96,2.3,1.2,0,0.6,0,6650000,0.1,0.8,1.4,1.7,2.1,0.1,93.8,48.7,51.3,163,573,557
93,2023,Frontier,6700000,82,95.1,1.2,1.2,1.2,1.2,0,6700000,0,2.8,1.4,4.2,3.1,0.2,88.4,45.7,54.3,57,619,595
94,2023,Gardner,1030000,94,87.2,3.2,0,0,9.6,0,1030000,0.2,2.1,2.7,20.5,7.6,0,66.9,47.2,52.6,104,463,449
95,2023,Gateway,6720000,39,97.4,0,0,0,2.6,0,6720000,0.4,0.4,0.8,4.2,2.3,0.1,91.8,49.6,50.4,21,574,521
96,2023,Georgetown,1050000,73,95.9,1.4,0,0,2.7,0,1050000,0,1.2,0.6,2.1,1.9,0.1,94.1,48.9,51.1,68,553,543
97,2023,Gill-Montague,6740000,32,84.4,3.1,0,0,12.5,0,6740000,0.2,0.4,1.3,11.4,6.7,0.2,79.7,47.9,52.1,17,606,582
98,2023,Global Learning Charter Public (District),4960000,42,100,0,0,0,0,0,4960000,0.6,1,10.3,40.8,4.4,0,43,50.9,49.1,9,nil,nil
99,2023,Gloucester,1070000,178,87.6,5.1,1.7,0,5.6,0,1070000,0.3,1.2,1.8,10.2,3.4,0.2,83,47.9,52.1,103,551,556
100,2023,Grafton,1100000,209,98.6,0.5,0.5,0.5,0,0,1100000,0.1,12.1,1.6,4.6,3,0.1,78.3,48.2,51.8,169,580,579
101,2023,Granby,1110000,55,94.5,1.8,0,0,3.6,0,1110000,0.4,1.5,0.1,9.5,2.5,0,86,47.7,52.3,20,559,542
102,2023,Greater Commonwealth Virtual District,39010000,49,55.1,14.3,0,0,30.6,0,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,16,542,524
103,2023,Greater Fall River Regional Vocational Technical,8210000,306,97.7,0.3,0.3,0,1.6,0,8210000,0.4,1.8,2.6,11.5,5.8,0.1,77.7,45.6,54.4,59,549,507
104,2023,Greater Lawrence Regional Vocational Technical,8230000,389,99.7,0,0.3,0,0,0,8230000,0.1,1.3,1.1,82.3,0,0,15.2,50.2,49.8,48,475,460
105,2023,Greater Lowell Regional Vocational Technical,8280000,532,97,1.5,0.2,0,1.3,0,8280000,0.3,15.8,4.3,34.4,3.8,0,41.4,46,53.9,141,509,496
106,2023,Greater New Bedford Regional Vocational Technical,8250000,460,96.1,1.5,0,0,1.5,0.9,8250000,0.4,0.9,8.3,22.6,4.3,0,63.3,49.6,50.4,80,515,499
107,2023,Greenfield,1140000,74,74.3,10.8,0,0,14.9,0,1140000,0.1,1.4,2.5,19.2,5.2,0,71.6,47.1,52.8,18,572,558
108,2023,Groton-Dunstable,6730000,159,98.1,1.3,0,0,0.6,0,6730000,0.3,6.5,1.1,2.4,2.5,0.2,87.1,49.3,50.7,175,600,611
109,2023,Hadley,1170000,34,97.1,2.9,0,0,0,0,1170000,0.4,4.7,2.2,9.5,3,2.2,78,48.5,51.5,27,570,554
110,2023,Hamilton-Wenham,6750000,123,94.3,2.4,0,0,3.3,0,6750000,0.1,3.7,0.5,4.2,2,0.3,89.3,51.3,48.7,131,612,589
111,2023,Hampden Charter School of Science East (District),4990000,62,95.2,0,0,0,4.8,0,4990000,0.2,2,29.5,32.5,2.2,0,33.7,52.2,47.8,22,521,498
