...1,Year,District Name,District Code_x,# in Cohort,% Graduated,% Still in School,% Non-Grad Completers,% H.S. Equiv.,% Dropped Out,% Permanently Excluded,District Code_y,American Indian or Alaska Native,Asian,Black or African American,Hispanic or Latino,"Multi-Race, Not Hispanic or Latino",Native Hawaiian or Other Pacific Islander,White,Female,Male,Tests Taken,Reading / Writing,Math,Student / Teacher Ratio,Low Income %.y
117,2023,hatfield,1270000,20,100,0,0,0,0,0,1270000,0,1.4,0.5,4.8,2.5,0,90.8,48.2,51.4,12,599,543,8.2,20.5
118,2023,haverhill,1280000,371,82.5,9.7,1.1,0,6.7,0,1280000,0.2,1.7,4.4,36.9,2.1,0.1,54.5,48.1,51.9,151,553,542,11.8,61.1
119,2023,hingham,1310000,308,97.1,2.3,0,0.3,0.3,0,1310000,0,2.6,1.2,3.1,2.9,0,90.1,48.6,51.4,312,620,607,12.1,7.8
120,2023,holbrook,1330000,75,90.7,2.7,0,0,6.7,0,1330000,0.2,4.9,21,13.4,7.9,0,52.5,47.8,52.1,30,529,511,12.9,43.8
121,2023,holliston,1360000,192,94.8,3.1,0,0,2.1,0,1360000,0.2,8.3,1,5.1,3,0,82.5,48.1,51.8,186,612,601,12.9,10.2
122,2023,holyoke,1370000,322,78,7.5,2.8,0,11.8,0,1370000,0.1,0.8,3.1,81,1.2,0,13.8,47.2,52.7,74,491,460,11.7,85.1
123,2023,hoosac valley regional,6030000,45,88.9,2.2,0,0,8.9,0,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,22,524,539,10.6,59.6
124,2023,hopedale,1380000,62,85.5,8.1,1.6,0,4.8,0,1380000,0.6,1.6,0.9,5.7,4.1,0.2,86.8,48.2,51.8,59,593,580,11.2,21.8
125,2023,hopkinton,1390000,294,98.6,0.7,0.3,0,0.3,0,1390000,0.2,17.1,0.7,3.5,3.4,0,75.1,49.6,50.4,291,621,635,14.3,7
126,2023,hudson,1410000,155,91,2.6,0,0,6.5,0,1410000,0.1,1.9,1.8,11.8,2.6,0,81.7,50.8,49.2,84,553,536,10,35.6
127,2023,hull,1420000,58,96.6,1.7,0,0,1.7,0,1420000,0,1.6,1.4,1.9,2,0,93.1,46.6,53.4,43,585,551,9.6,33.4
129,2023,ipswich,1440000,115,95.7,1.7,0,0,2.6,0,1440000,0.1,1.8,1.2,5.5,4.1,0,87.4,50.6,49.3,105,597,579,9.9,18.9
130,2023,king philip,6900000,250,97.2,2.4,0,0,0.4,0,6900000,0,2.2,1.9,3,1.9,0,90.9,48,51.9,299,584,570,13.1,16.4
